Step   49000 (bc16.9)s  | [R_te] min: 3453.54         max: 4032.81        Avg: 3735.94 (44.67)     | [MSE_tr]  0.1530    | w_noise: [0.001 0.001 0.001 0.009 0.029 0.088 0.140 0.202 0.277 0.387]
Step   50000 (bc17.0)s  | [R_te] min: 2920.68         max: 3822.95        Avg: 3553.59 (74.19)     | [MSE_tr]  0.1532    | w_noise: [0.001 0.001 0.001 0.009 0.028 0.088 0.139 0.202 0.276 0.388]
Step   51000 (bc16.9)s  | [R_te] min: 1346.90         max: 3758.48        Avg: 3251.32 (230.55)    | [MSE_tr]  0.1527    | w_noise: [0.001 0.001 0.001 0.009 0.028 0.088 0.140 0.202 0.275 0.386]
Step   52000 (bc17.0)s  | [R_te] min: 31.86           max: 3871.93        Avg: 3317.43 (349.40)    | [MSE_tr]  0.1522    | w_noise: [0.001 0.001 0.001 0.009 0.028 0.088 0.139 0.202 0.275 0.385]
Step   53000 (bc16.9)s  | [R_te] min: 3396.02         max: 3903.43        Avg: 3606.20 (47.91)     | [MSE_tr]  0.1517    | w_noise: [0.001 0.001 0.001 0.009 0.028 0.088 0.139 0.201 0.276 0.386]
Step   54000 (bc17.0)s  | [R_te] min: 3484.99         max: 3774.62        Avg: 3633.68 (29.43)     | [MSE_tr]  0.1512    | w_noise: [0.001 0.001 0.001 0.009 0.028 0.088 0.139 0.201 0.276 0.386]
Step   55000 (bc17.1)s  | [R_te] min: 1025.66         max: 4050.23        Avg: 3098.65 (323.89)    | [MSE_tr]  0.1513    | w_noise: [0.001 0.001 0.001 0.009 0.028 0.088 0.140 0.201 0.276 0.386]
Step   56000 (bc16.9)s  | [R_te] min: 3295.86         max: 3920.04        Avg: 3704.19 (64.84)     | [MSE_tr]  0.1509    | w_noise: [0.001 0.001 0.001 0.009 0.028 0.088 0.139 0.200 0.276 0.386]
Step   57000 (bc16.6)s  | [R_te] min: 2069.24         max: 3860.96        Avg: 3485.92 (155.59)    | [MSE_tr]  0.1502    | w_noise: [0.001 0.001 0.001 0.008 0.028 0.088 0.139 0.200 0.276 0.387]
Step   58000 (bc16.5)s  | [R_te] min: 349.71          max: 3715.50        Avg: 3222.34 (304.76)    | [MSE_tr]  0.1501    | w_noise: [0.001 0.001 0.001 0.008 0.028 0.088 0.138 0.201 0.276 0.387]
Step   59000 (bc16.6)s  | [R_te] min: 1180.72         max: 3836.93        Avg: 3059.38 (257.63)    | [MSE_tr]  0.1496    | w_noise: [0.001 0.001 0.001 0.008 0.028 0.088 0.138 0.200 0.276 0.386]
Step   60000 (bc17.0)s  | [R_te] min: 2133.77         max: 3873.11        Avg: 3273.46 (171.31)    | [MSE_tr]  0.1496    | w_noise: [0.001 0.001 0.001 0.008 0.028 0.088 0.138 0.200 0.275 0.386]
Step   61000 (bc16.5)s  | [R_te] min: 2260.86         max: 3795.60        Avg: 3457.55 (134.77)    | [MSE_tr]  0.1489    | w_noise: [0.001 0.001 0.001 0.008 0.028 0.088 0.138 0.200 0.275 0.384]
Step   62000 (bc16.8)s  | [R_te] min: 1390.34         max: 3756.84        Avg: 3370.65 (213.45)    | [MSE_tr]  0.1491    | w_noise: [0.001 0.001 0.001 0.008 0.028 0.087 0.138 0.200 0.275 0.386]
Step   63000 (bc16.5)s  | [R_te] min: 85.21           max: 3813.08        Avg: 2936.12 (391.97)    | [MSE_tr]  0.1489    | w_noise: [0.001 0.001 0.001 0.008 0.028 0.087 0.138 0.199 0.275 0.386]
Step   64000 (bc16.6)s  | [R_te] min: 434.29          max: 3766.66        Avg: 2801.13 (368.91)    | [MSE_tr]  0.1484    | w_noise: [0.001 0.001 0.001 0.008 0.027 0.087 0.138 0.200 0.275 0.385]
Step   65000 (bc16.9)s  | [R_te] min: 1296.80         max: 3965.58        Avg: 3211.38 (243.88)    | [MSE_tr]  0.1481    | w_noise: [0.001 0.001 0.001 0.008 0.027 0.087 0.138 0.200 0.274 0.385]
Step   66000 (bc16.5)s  | [R_te] min: 3293.38         max: 3923.63        Avg: 3546.68 (61.83)     | [MSE_tr]  0.1476    | w_noise: [0.001 0.001 0.001 0.008 0.027 0.087 0.138 0.200 0.273 0.383]
Step   67000 (bc16.5)s  | [R_te] min: 1027.98         max: 3692.41        Avg: 3057.19 (309.94)    | [MSE_tr]  0.1480    | w_noise: [0.001 0.001 0.001 0.008 0.028 0.087 0.137 0.199 0.275 0.384]
Step   68000 (bc16.9)s  | [R_te] min: 963.71          max: 3584.18        Avg: 3026.43 (270.03)    | [MSE_tr]  0.1474    | w_noise: [0.001 0.001 0.001 0.008 0.027 0.087 0.137 0.200 0.274 0.384]
Step   69000 (bc17.0)s  | [R_te] min: 716.70          max: 3758.97        Avg: 3284.69 (273.59)    | [MSE_tr]  0.1473    | w_noise: [0.001 0.001 0.001 0.008 0.027 0.086 0.138 0.200 0.274 0.384]
Step   70000 (bc16.7)s  | [R_te] min: 223.54          max: 3657.83        Avg: 2510.49 (387.46)    | [MSE_tr]  0.1467    | w_noise: [0.001 0.001 0.001 0.008 0.027 0.087 0.138 0.200 0.273 0.383]
Step   71000 (bc16.7)s  | [R_te] min: 2536.10         max: 3831.39        Avg: 3288.20 (119.03)    | [MSE_tr]  0.1468    | w_noise: [0.001 0.001 0.001 0.008 0.027 0.087 0.138 0.200 0.274 0.384]
Step   72000 (bc16.9)s  | [R_te] min: 1164.62         max: 3808.39        Avg: 2986.31 (231.06)    | [MSE_tr]  0.1465    | w_noise: [0.001 0.001 0.001 0.008 0.027 0.087 0.137 0.199 0.276 0.384]
Step   73000 (bc16.8)s  | [R_te] min: 1313.01         max: 3606.42        Avg: 2959.85 (244.45)    | [MSE_tr]  0.1461    | w_noise: [0.001 0.001 0.001 0.008 0.027 0.087 0.137 0.199 0.276 0.385]
Step   74000 (bc16.8)s  | [R_te] min: 2010.22         max: 3755.00        Avg: 3301.69 (197.10)    | [MSE_tr]  0.1463    | w_noise: [0.001 0.001 0.001 0.008 0.027 0.087 0.137 0.200 0.276 0.385]
Step   75000 (bc16.8)s  | [R_te] min: 1475.16         max: 3770.39        Avg: 3199.72 (199.20)    | [MSE_tr]  0.1459    | w_noise: [0.001 0.001 0.001 0.008 0.027 0.087 0.137 0.200 0.276 0.383]
Step   76000 (bc17.2)s  | [R_te] min: 3033.32         max: 3619.58        Avg: 3359.50 (58.19)     | [MSE_tr]  0.1457    | w_noise: [0.001 0.001 0.001 0.008 0.027 0.086 0.138 0.200 0.275 0.384]
Step   77000 (bc16.5)s  | [R_te] min: 3108.68         max: 3573.00        Avg: 3404.51 (42.32)     | [MSE_tr]  0.1456    | w_noise: [0.001 0.001 0.001 0.008 0.027 0.086 0.137 0.200 0.275 0.384]
Step   78000 (bc16.6)s  | [R_te] min: 197.13          max: 3695.22        Avg: 2576.93 (392.30)    | [MSE_tr]  0.1454    | w_noise: [0.001 0.001 0.001 0.008 0.027 0.086 0.136 0.200 0.275 0.384]
Step   79000 (bc16.6)s  | [R_te] min: 1036.02         max: 3533.35        Avg: 2805.98 (285.66)    | [MSE_tr]  0.1448    | w_noise: [0.001 0.001 0.001 0.008 0.027 0.086 0.137 0.201 0.274 0.385]
Step   80000 (bc16.6)s  | [R_te] min: 54.96           max: 3622.69        Avg: 2776.12 (380.37)    | [MSE_tr]  0.1448    | w_noise: [0.001 0.001 0.001 0.008 0.027 0.086 0.137 0.200 0.274 0.384]
Step   81000 (bc16.6)s  | [R_te] min: 162.07          max: 3599.04        Avg: 2323.70 (344.54)    | [MSE_tr]  0.1442    | w_noise: [0.001 0.001 0.001 0.007 0.027 0.086 0.137 0.200 0.274 0.382]
Step   82000 (bc16.7)s  | [R_te] min: 870.52          max: 3572.14        Avg: 2931.49 (291.05)    | [MSE_tr]  0.1443    | w_noise: [0.001 0.001 0.001 0.007 0.026 0.086 0.137 0.199 0.275 0.383]
Step   83000 (bc16.8)s  | [R_te] min: 2374.69         max: 3651.92        Avg: 3192.72 (120.47)    | [MSE_tr]  0.1440    | w_noise: [0.000 0.001 0.001 0.007 0.026 0.086 0.137 0.200 0.274 0.383]
Step   84000 (bc16.9)s  | [R_te] min: 3142.00         max: 3629.74        Avg: 3347.43 (43.16)     | [MSE_tr]  0.1438    | w_noise: [0.000 0.001 0.001 0.007 0.026 0.086 0.136 0.200 0.273 0.384]
Step   85000 (bc17.0)s  | [R_te] min: 1574.00         max: 3933.83        Avg: 3383.57 (196.80)    | [MSE_tr]  0.1435    | w_noise: [0.000 0.001 0.001 0.007 0.026 0.086 0.136 0.199 0.273 0.383]
Step   86000 (bc16.9)s  | [R_te] min: 3065.14         max: 3634.33        Avg: 3293.07 (55.16)     | [MSE_tr]  0.1439    | w_noise: [0.000 0.001 0.001 0.007 0.026 0.086 0.136 0.199 0.272 0.380]
Step   87000 (bc16.7)s  | [R_te] min: 3301.91         max: 3782.62        Avg: 3539.76 (46.52)     | [MSE_tr]  0.1435    | w_noise: [0.000 0.000 0.001 0.007 0.026 0.085 0.136 0.199 0.271 0.380]
Step   88000 (bc17.1)s  | [R_te] min: 596.40          max: 3720.52        Avg: 2952.37 (323.45)    | [MSE_tr]  0.1427    | w_noise: [0.000 0.000 0.001 0.007 0.026 0.085 0.136 0.199 0.271 0.382]
Step   89000 (bc16.6)s  | [R_te] min: 1163.60         max: 3672.00        Avg: 3179.21 (220.48)    | [MSE_tr]  0.1431    | w_noise: [0.000 0.000 0.001 0.007 0.026 0.084 0.135 0.198 0.271 0.381]
Step   90000 (bc16.6)s  | [R_te] min: 65.40           max: 3878.99        Avg: 3098.48 (334.89)    | [MSE_tr]  0.1429    | w_noise: [0.000 0.000 0.001 0.007 0.026 0.084 0.136 0.199 0.271 0.381]
Step   91000 (bc17.0)s  | [R_te] min: 804.32          max: 3662.33        Avg: 2814.75 (286.87)    | [MSE_tr]  0.1424    | w_noise: [0.000 0.000 0.001 0.007 0.026 0.084 0.136 0.198 0.271 0.380]
Step   92000 (bc16.9)s  | [R_te] min: 926.43          max: 3760.61        Avg: 3135.67 (300.97)    | [MSE_tr]  0.1427    | w_noise: [0.000 0.000 0.001 0.007 0.026 0.084 0.136 0.198 0.271 0.379]
Step   93000 (bc16.7)s  | [R_te] min: 3083.44         max: 3600.20        Avg: 3300.44 (50.31)     | [MSE_tr]  0.1424    | w_noise: [0.000 0.000 0.001 0.007 0.026 0.084 0.136 0.197 0.270 0.378]
Step   94000 (bc16.8)s  | [R_te] min: 450.29          max: 3538.09        Avg: 2790.91 (299.71)    | [MSE_tr]  0.1425    | w_noise: [0.000 0.000 0.001 0.007 0.026 0.084 0.136 0.198 0.271 0.379]
Step   95000 (bc16.8)s  | [R_te] min: 547.24          max: 3446.42        Avg: 2595.89 (266.52)    | [MSE_tr]  0.1421    | w_noise: [0.000 0.000 0.001 0.007 0.026 0.084 0.136 0.198 0.272 0.380]
Step   96000 (bc16.6)s  | [R_te] min: 969.72          max: 3457.27        Avg: 2981.52 (222.81)    | [MSE_tr]  0.1414    | w_noise: [0.000 0.000 0.001 0.007 0.026 0.084 0.136 0.198 0.271 0.381]
Step   97000 (bc16.8)s  | [R_te] min: 702.61          max: 3494.17        Avg: 2971.18 (257.51)    | [MSE_tr]  0.1419    | w_noise: [0.000 0.000 0.001 0.007 0.025 0.084 0.135 0.198 0.271 0.380]
Step   98000 (bc16.8)s  | [R_te] min: 943.24          max: 3670.38        Avg: 2593.19 (332.49)    | [MSE_tr]  0.1418    | w_noise: [0.000 0.000 0.001 0.007 0.025 0.084 0.136 0.198 0.272 0.379]
Step   99000 (bc16.3)s  | [R_te] min: 927.93          max: 3397.11        Avg: 2805.68 (232.05)    | [MSE_tr]  0.1417    | w_noise: [0.000 0.000 0.001 0.007 0.025 0.084 0.136 0.197 0.272 0.381]
Step  100000 (bc16.6)s  | [R_te] min: 51.38           max: 3556.40        Avg: 2861.31 (331.34)    | [MSE_tr]  0.1413    | w_noise: [0.000 0.000 0.001 0.007 0.025 0.084 0.136 0.197 0.271 0.382]
Step  101000 (bc16.7)s  | [R_te] min: 2035.41         max: 3749.90        Avg: 3127.05 (175.04)    | [MSE_tr]  0.1412    | w_noise: [0.000 0.000 0.001 0.007 0.025 0.084 0.135 0.197 0.273 0.379]
Step  102000 (bc16.7)s  | [R_te] min: 175.85          max: 3373.53        Avg: 2381.98 (332.88)    | [MSE_tr]  0.1407    | w_noise: [0.000 0.000 0.001 0.007 0.025 0.084 0.135 0.197 0.274 0.380]
Step  103000 (bc16.3)s  | [R_te] min: 27.31           max: 3765.81        Avg: 2895.89 (346.55)    | [MSE_tr]  0.1409    | w_noise: [0.000 0.000 0.001 0.007 0.025 0.084 0.135 0.197 0.273 0.379]
Step  104000 (bc16.2)s  | [R_te] min: 1787.74         max: 3616.52        Avg: 2931.83 (201.24)    | [MSE_tr]  0.1412    | w_noise: [0.000 0.000 0.001 0.007 0.025 0.084 0.135 0.197 0.273 0.379]
Step  105000 (bc16.6)s  | [R_te] min: 1221.81         max: 3641.11        Avg: 2801.57 (246.20)    | [MSE_tr]  0.1409    | w_noise: [0.000 0.000 0.001 0.007 0.025 0.084 0.134 0.197 0.272 0.379]
Step  106000 (bc16.7)s  | [R_te] min: 514.09          max: 3505.43        Avg: 2748.49 (347.72)    | [MSE_tr]  0.1406    | w_noise: [0.000 0.000 0.001 0.007 0.025 0.084 0.134 0.197 0.271 0.379]
Step  107000 (bc16.8)s  | [R_te] min: 20.38           max: 3622.02        Avg: 2680.86 (356.05)    | [MSE_tr]  0.1403    | w_noise: [0.000 0.000 0.001 0.007 0.025 0.084 0.134 0.197 0.270 0.380]
Step  108000 (bc16.7)s  | [R_te] min: 3055.23         max: 3622.34        Avg: 3371.75 (58.85)     | [MSE_tr]  0.1403    | w_noise: [0.000 0.000 0.001 0.007 0.025 0.084 0.135 0.196 0.270 0.380]
Step  109000 (bc16.2)s  | [R_te] min: 928.70          max: 3716.88        Avg: 2969.86 (318.90)    | [MSE_tr]  0.1401    | w_noise: [0.000 0.000 0.001 0.007 0.025 0.083 0.135 0.197 0.272 0.378]
Step  110000 (bc16.2)s  | [R_te] min: 504.94          max: 3373.74        Avg: 2612.37 (312.41)    | [MSE_tr]  0.1398    | w_noise: [0.000 0.000 0.001 0.007 0.025 0.084 0.134 0.197 0.272 0.379]
Step  111000 (bc16.2)s  | [R_te] min: 472.53          max: 3521.85        Avg: 2700.44 (339.42)    | [MSE_tr]  0.1398    | w_noise: [0.000 0.000 0.001 0.007 0.025 0.083 0.135 0.197 0.271 0.378]
Step  112000 (bc16.1)s  | [R_te] min: 760.59          max: 3543.50        Avg: 2878.79 (268.58)    | [MSE_tr]  0.1400    | w_noise: [0.000 0.000 0.001 0.007 0.025 0.083 0.135 0.197 0.271 0.380]
Step  113000 (bc16.3)s  | [R_te] min: 461.10          max: 3552.64        Avg: 1931.37 (342.95)    | [MSE_tr]  0.1396    | w_noise: [0.000 0.000 0.001 0.007 0.025 0.083 0.135 0.197 0.271 0.379]
Step  114000 (bc16.2)s  | [R_te] min: 134.59          max: 3571.03        Avg: 1912.42 (354.77)    | [MSE_tr]  0.1391    | w_noise: [0.000 0.000 0.001 0.007 0.025 0.084 0.135 0.197 0.273 0.378]
Step  115000 (bc16.6)s  | [R_te] min: 150.78          max: 3358.05        Avg: 2111.60 (385.45)    | [MSE_tr]  0.1395    | w_noise: [0.000 0.000 0.001 0.007 0.025 0.084 0.134 0.197 0.271 0.380]
Step  116000 (bc16.5)s  | [R_te] min: 773.96          max: 3399.08        Avg: 2619.96 (276.55)    | [MSE_tr]  0.1393    | w_noise: [0.000 0.000 0.001 0.007 0.025 0.084 0.135 0.197 0.271 0.379]
Step  117000 (bc16.1)s  | [R_te] min: 2785.54         max: 3456.78        Avg: 3109.25 (69.00)     | [MSE_tr]  0.1390    | w_noise: [0.000 0.000 0.001 0.007 0.025 0.084 0.134 0.197 0.272 0.379]
Step  118000 (bc16.3)s  | [R_te] min: 1636.80         max: 3532.86        Avg: 3005.64 (165.96)    | [MSE_tr]  0.1389    | w_noise: [0.000 0.000 0.001 0.007 0.025 0.084 0.135 0.196 0.270 0.379]
Step  119000 (bc16.1)s  | [R_te] min: 1535.48         max: 3729.02        Avg: 3257.83 (187.76)    | [MSE_tr]  0.1389    | w_noise: [0.000 0.000 0.001 0.007 0.025 0.084 0.135 0.197 0.270 0.381]
Step  120000 (bc16.1)s  | [R_te] min: 719.00          max: 3755.53        Avg: 2834.03 (317.82)    | [MSE_tr]  0.1386    | w_noise: [0.000 0.000 0.001 0.007 0.025 0.084 0.135 0.197 0.269 0.380]
