Step       0 (bc0.0)s   | [R_te] min: 19.96           max: 20.77          Avg: 20.28 (0.07)        | [MSE_tr]  0.5009   
Step  156000 (bc5.2)s   | [R_te] min: 389.35          max: 4085.90        Avg: 2132.62 (484.47)    | [MSE_tr]  0.2205   
Step  157000 (bc5.2)s   | [R_te] min: 489.05          max: 4626.86        Avg: 2633.02 (542.33)    | [MSE_tr]  0.2209   
Step  158000 (bc5.1)s   | [R_te] min: 270.34          max: 4093.38        Avg: 1382.55 (419.64)    | [MSE_tr]  0.2207   
Step  159000 (bc5.2)s   | [R_te] min: 398.03          max: 1481.51        Avg: 793.68 (123.96)     | [MSE_tr]  0.2206   
Step  160000 (bc5.3)s   | [R_te] min: 456.92          max: 4273.02        Avg: 1983.02 (553.02)    | [MSE_tr]  0.2205   
Step  161000 (bc5.1)s   | [R_te] min: 340.33          max: 4227.25        Avg: 1409.73 (450.08)    | [MSE_tr]  0.2207   
Step  162000 (bc5.1)s   | [R_te] min: 280.22          max: 4579.50        Avg: 1459.78 (515.22)    | [MSE_tr]  0.2208   
Step  163000 (bc5.2)s   | [R_te] min: 288.38          max: 1973.57        Avg: 794.96 (141.54)     | [MSE_tr]  0.2209   
Step  164000 (bc5.1)s   | [R_te] min: 312.32          max: 4325.97        Avg: 1244.95 (390.60)    | [MSE_tr]  0.2207   
Step  165000 (bc5.1)s   | [R_te] min: 286.35          max: 4026.27        Avg: 1096.71 (373.76)    | [MSE_tr]  0.2207   
Step  166000 (bc5.1)s   | [R_te] min: 363.48          max: 1813.79        Avg: 704.91 (126.22)     | [MSE_tr]  0.2208   
Step  167000 (bc5.1)s   | [R_te] min: 322.94          max: 1355.74        Avg: 603.62 (90.87)      | [MSE_tr]  0.2212   
Step  168000 (bc5.0)s   | [R_te] min: 212.75          max: 4353.82        Avg: 1191.89 (369.31)    | [MSE_tr]  0.2211   
Step  169000 (bc5.1)s   | [R_te] min: 235.71          max: 3815.70        Avg: 1074.03 (382.17)    | [MSE_tr]  0.2208   
Step  170000 (bc5.1)s   | [R_te] min: 257.26          max: 4418.18        Avg: 1705.23 (478.14)    | [MSE_tr]  0.2214   
Step  171000 (bc5.1)s   | [R_te] min: 311.43          max: 4263.45        Avg: 1436.80 (438.33)    | [MSE_tr]  0.2216   
Step  172000 (bc5.0)s   | [R_te] min: 476.48          max: 2875.28        Avg: 989.38 (236.18)     | [MSE_tr]  0.2216   
Step  173000 (bc5.4)s   | [R_te] min: 327.86          max: 2807.56        Avg: 710.89 (224.56)     | [MSE_tr]  0.2216   
Step  174000 (bc5.2)s   | [R_te] min: 258.92          max: 3909.38        Avg: 1375.85 (379.49)    | [MSE_tr]  0.2214   
Step  175000 (bc5.1)s   | [R_te] min: 395.53          max: 3879.89        Avg: 1391.72 (355.70)    | [MSE_tr]  0.2212   
Step  176000 (bc5.1)s   | [R_te] min: 264.52          max: 1166.88        Avg: 519.34 (96.50)      | [MSE_tr]  0.2219   
Step  177000 (bc5.1)s   | [R_te] min: 283.11          max: 3763.37        Avg: 1166.86 (337.93)    | [MSE_tr]  0.2215   
Step  178000 (bc5.1)s   | [R_te] min: 120.18          max: 977.67         Avg: 547.75 (76.62)      | [MSE_tr]  0.2213   
Step  179000 (bc5.0)s   | [R_te] min: 290.04          max: 4118.73        Avg: 1252.42 (387.54)    | [MSE_tr]  0.2216   
Step  180000 (bc5.1)s   | [R_te] min: 114.96          max: 3652.95        Avg: 1036.91 (345.92)    | [MSE_tr]  0.2217   
Step  181000 (bc5.1)s   | [R_te] min: 214.14          max: 4383.41        Avg: 1860.40 (512.13)    | [MSE_tr]  0.2218   
Step  182000 (bc5.1)s   | [R_te] min: 395.32          max: 4349.24        Avg: 1563.22 (446.57)    | [MSE_tr]  0.2221   
Step  183000 (bc5.1)s   | [R_te] min: 321.32          max: 3778.25        Avg: 1876.70 (443.30)    | [MSE_tr]  0.2218   
Step  184000 (bc5.2)s   | [R_te] min: 170.59          max: 615.86         Avg: 465.63 (34.28)      | [MSE_tr]  0.2217   
Step  185000 (bc5.2)s   | [R_te] min: 323.40          max: 1895.58        Avg: 742.36 (166.25)     | [MSE_tr]  0.2217   
Step  186000 (bc5.2)s   | [R_te] min: 194.72          max: 2732.60        Avg: 1001.47 (250.75)    | [MSE_tr]  0.2219   
Step  187000 (bc5.3)s   | [R_te] min: 232.76          max: 3061.69        Avg: 1398.06 (306.93)    | [MSE_tr]  0.2221   
Step  188000 (bc5.2)s   | [R_te] min: 359.99          max: 4180.45        Avg: 1078.01 (351.04)    | [MSE_tr]  0.2222   
